,Question Identifier,Grade level,Claim,Target,Type,Task model,Variant,Sub-variant,Prompt feature #,Prompt features,Stimulus #,Stimulus,Owner,Questions/comments/notes,# of drafted questions,# of approved questions,# of deployed questions,Exercise name,Recommend adding to exercise,Exercise Link
6.1.E.1.CR.1,6.1.E.1.CR.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,CR,1.CR,1,,1,The student is prompted to determine the value of a given expression or formula,1,The student is presented with a numerical expression involving whole-number exponents,Chris,,,,,Covered in: Positive and zero exponents,,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/exponents_1.html?debug
6.1.E.1.CR.2,6.1.E.1.CR.2.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,CR,1.CR,2,,1,The student is prompted to determine the value of a given expression or formula,2,The student is presented with an algebraic expression and specific values for variables in the expression. The expression may involve whole-number exponents,Chris,,,,,Covered in: Evaluating expressions in one variable (and in 2 variables),,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/evaluating_expressions_1.html
6.1.E.1.CR.3,6.1.E.1.CR.3.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,CR,1.CR,3,,1,The student is prompted to determine the value of a given expression or formula,3,The student is presented with a formula in a real-world problem and specific values for variables in the formula. The formula may involve whole-number exponents,Chris,,,,,,,
6.1.E.1.SR.1,6.1.E.1.SR.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,SR,1.SR,1,,1,The student is prompted to identify the value of a given expression or formula,1,The student is presented with a numerical expression involving whole-number exponents,Barry,,,,,Related to: Positive and zero exponents,,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/exponents_1.html?debug
6.1.E.1.SR.2,6.1.E.1.SR.2.a,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,SR,1.SR,2,a,1,The student is prompted to identify the value of a given expression or formula,2,The student is presented with an algebraic expression and specific values for variables in the expression. The expression does not involve exponents,Duane,,,,,Related to: Evaluating expressions in one variable (and in 2 variables),,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/evaluating_expressions_1.html
6.1.E.1.SR.2,6.1.E.1.SR.2.b,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,SR,1.SR,2,b,1,The student is prompted to identify the value of a given expression or formula,2,The student is presented with an algebraic expression and specific values for variables in the expression. The expression involves whole-number exponents,Duane,,,,,Related to: Evaluating expressions in 2 variables,,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/evaluating_expressions_2.html?debug&problem=a-squared-plus-b
6.1.E.1.SR.3,6.1.E.1.SR.3.a,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,SR,1.SR,3,a,1,The student is prompted to identify the value of a given expression or formula,3,The student is presented with a formula in a real-world problem and specific values for variables in the formula. The formula does not involve exponents,Duane,,,,,,,
6.1.E.1.SR.3,6.1.E.1.SR.3.b,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,SR,1.SR,3,b,1,The student is prompted to identify the value of a given expression or formula,3,The student is presented with a formula in a real-world problem and specific values for variables in the formula. The formula involves whole-number exponents,,,,,,,,
6.1.E.2.CR.1,6.1.E.2.CR.1.a,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,CR,2.CR,1,a,1,The student is prompted to write a numerical expression that represents a given verbal expression. ,1,The student is presented with a verbal expression involving whole number exponents,Duane,,,,,,"Writing expressions 1   (it's like the exercise, but has no variables, so the expression can be evaluated)",
6.1.E.2.CR.1,6.1.E.2.CR.1.b,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,CR,2.CR,1,b,1,Or the student is prompted to write an algebraic expression that represents a given verbal expression. ,1,The student is presented with a verbal expression involving whole number exponents,Duane,,,,,,Writing expressions 1 (just add some problem types with exponents.),
